タイプ,問題文,解答,解説
multiple,東海道新幹線開業当初になかった駅を5つ答えろ。,"三河安城,掛川,新富士,三島,品川",
single,東海道新幹線開業以降にできた駅のうち、一番最初にできた駅は○○駅である。,三島,
multiple,国鉄民営化後1988年にできた駅を3つ答えろ。,"三河安城,掛川,新富士",
single,東海道新幹線の停車駅で最後に出来た駅は○○駅である。,品川,
single,品川駅ができたのは○○年○○月○○日である。,20031001,
single,品川駅ができたことにより、のぞみ、ひかり、こだまのダイヤは〇-〇-〇ダイヤになった。,723,
single,JR東海の正式名称は○○である。,東海旅客鉄道株式会社,
single,会社名の英語表記は○○である。,Central Japan Railway Campany,
single,JR東海設立は○○年○○月○○日である。,19870401,
single,JR東海設立時の資本金は○○億円である。,1120,
single,社員数は○○人である。（令和6年度末）,18404,
single,新幹線と在来線の駅は○○である。（令和6年度末）,405,
single,車両数は○○両である。（令和6年度末）,4698,
single,単体の営業収益は○○億円である。（令和6年度末）,15112,
single,連結の営業収益は○○億円である。（令和6年度末）,18318,
single,旅客運輸収入が営業収益全体に占める割合は約○○％である。,95,
single,旅客運輸収入のうち新幹線収入は約○○％である。,93,
single,国鉄からの長期債務は2015年に○○兆円を割った。,2,
single,新幹線は東京～名古屋～大阪という日本を支える○○輸送。,大都市間,
multiple,在来線は静岡・名古屋といった東海地区の、○○輸送・○○輸送。,"都市間,都市圏",
multiple,本社は○○と○○にある。,"名古屋,東京",
single,○○は名古屋に本部があり、在来線に関わる運輸事業の企画・運営を行っている。,東海鉄道事業本部,
single,東海鉄道事業本部は○○に本部があり、在来線に関わる運輸事業の企画・運営を行っている。,名古屋,
multiple,東海鉄道事業本部は名古屋に本部があり、地方機関は○○支社、○○支店、○○支店である。,"静岡,三重,飯田",
single,○○は東京に本部があり、新幹線に関わる運輸事業の企画・運営を行っている。,新幹線鉄道事業本部,
single,新幹線鉄道事業本部は○○に本部があり、新幹線に関わる運輸事業の企画・運営を行っている。,東京,
single,新幹線鉄道事業本部は東京に本部があり、地方機関は○○支社である。,関西,
single,当社の代表取締役会長は○○である。,金子慎,
single,当社の代表取締役社長は○○である。,丹羽俊介,
single,事業推進部を除く、事務部門担当の副社長は○○である。,武田健太郎,
single,事業推進部を除く、○○部門担当の副社長は武田健太郎である。,事務,
single,事業推進本部長、特命事項担当の副社長は○○である。,中村明彦,
single,○○本部長、特命事項担当の副社長は中村明彦である。,事業推進,
single,中央新幹線推進本部担当の副社長は○○である。,水野孝則,
single,○○本部担当の副社長は水野孝則である。,中央新幹線推進,
single,鉄道事業本部担当、安全部門統括担当の副社長は○○である。,鈴木広士,
multiple,○○本部担当、○○部門統括担当の副社長は鈴木広士である。,"鉄道事業,安全",
single,東海道新幹線の営業キロは○○kmである。,552.6,
single,東海道新幹線の駅数は○○である。,17,
multiple,東海道新幹線の列車の種類は○○、○○、○○がある。,"のぞみ,ひかり,こだま",
multiple,のぞみが停車する駅は○○、○○、○○、○○、○○、○○である。,"新大阪,京都,名古屋,新横浜,品川,東京",
single,東海道新幹線の列車本数は○○本/日である。（2024年度平均・臨時列車を含む。）,383,
single,1986年11月に〇-〇ダイヤになった。,64,
single,○○年11月に6-4ダイヤになった。,1986,
single,1991年3月に〇-〇ダイヤになった。,74,
single,○○年3月に7-4ダイヤになった。,1991,
single,1992年3月に○○営業運転が開始した。,300系,
single,○○年3月に300系営業運転が開始した。,1993,
single,1993年3月に○-○-○ダイヤになった。,173,
single,○○年3月に1-7-3ダイヤになった。,1993,
single,1999年3月○○営業運転が開始した。,700系,
single,2003年10月に○-○-○ダイヤになった。,723,
single,○○年10月に7-2-3ダイヤになった。,2003,
single,2005年3月に○○ダイヤになった。,のぞみ8本,
single,○○年3月にのぞみ8本ダイヤになった。,2005,
single,東海道新幹線の利用者は○○億人/年である。,1.68,
single,東海道新幹線の利用者は○○万人/日である。,46,
single,JRの前身となった組織の正式名称は○○である。,日本国有鉄道,1949年に公共事業体として発足しました。
single,日本国有鉄道の俗称（略称）は○○である。,国鉄,日本国有鉄道は俗に国鉄と呼ばれます。
single,"1906年頃,運営費削減や外国のインフラ支配を防ぐ目的で公布され,私鉄の買収が進むきっかけとなった法律は○○である。",鉄道国有法,"1906年に鉄道国有法が公布され,私鉄の買収が進みました。"
single,"国営企業の民主化及び経営効率の向上を目指し,日本国有鉄道が公共事業体として発足したのは西暦○○年である。",1949,1949年に日本国有鉄道が発足しました。
single,"国鉄は第2次大戦後の設備投資不足や急激な輸送需要の増加に対応できず,その経営は○○した。",悪化,輸送需要の増加に対応できず経営が悪化しました。
single,"経営悪化後,国鉄は解体されてJR7社に分かれることになったが,この一連の改革を○○という。",分割民営化,"国鉄は解体され,JR各社へ分割民営化されました。"
single,"国鉄経営悪化が深刻化し,国鉄改革への動きが本格的に始まったのは西暦○○年である。",1981,1981年に国鉄経営悪化が深刻化しました。
single,"国鉄経営悪化を受け,内閣総理大臣が意見を求めるために設置し,国鉄改革の調査を行った機関は○○である。",臨時行政調査会,"臨時行政調査会が調査を行い,第三次答申を提出しました。"
single,"1982年に臨時行政調査会が政府に提出した,国鉄分割民営化の具体的内容を記載したものは○○である。",第三次答申,第三次答申により政府が分割民営化へ動き出しました。
single,"第三次答申に記載されていた,国鉄の立て直しのための具体的な計画を○○という。",再建計画,国鉄の再建計画を行うための具体的内容が記載されていました。
single,"国鉄の分割・民営化の具体案を審議決定するため,1983年に総理府に設置された委員会は○○である。",国鉄再建監理委員会,1983年に国鉄再建監理委員会が発足しました。
single,"国鉄分割民営化への移行までの間,緊急処置として国鉄に○○の全面禁止が実行された。",新規採用,緊急処置として新規採用の全面禁止が実行されました。
single,"国鉄分割民営化への移行までの間,緊急処置として○○以外の設備投資が停止された。",安全投資,安全投資以外の設備投資が停止されました。
single,"国鉄分割民営化への移行までの間,新規採用の全面禁止などを含む緊急処置は○○項目実行された。",11,11項目の緊急処置が実行されました。
single,"国鉄経営悪化の原因の1つとして,急激な○○の変化に国鉄が十分対応できなかったことが挙げられる。",輸送需要,急激な輸送需要の変化に対応できませんでした。
single,"1960年代の急激なモータリゼーションをはじめとする変化を,○○構造の変化という。",輸送,自家用車の普及など輸送構造が大きく変化しました。
single,"1960年代の高度成長期に,自家用車が急増する背景となった池田内閣の長期経済計画は○○計画である。",所得倍増,所得倍増計画により自家用車が急増しました。
multiple,"公共性を重視しすぎた国鉄が本来特化すべきだったのは,○○,○○,○○輸送という鉄道の特性が活きる3つの輸送分野である。","都市間,大都市圏,大量定型貨物","都市間,大都市圏,大量定型貨物輸送に特化すべきでした。"
single,"国鉄経営悪化の原因の1つとして,「親方日の丸」的な経営姿勢を招いた○○の欠如が挙げられる。",当事者能力,当事者能力の欠如が経営悪化の原因とされました。
single,"当事者能力の欠如による,国や政府に依存した無責任な経営姿勢を○○的な経営姿勢という。",親方日の丸,「親方日の丸」的な経営姿勢が問題視されました。
